iter	Passed	Remaining
314	944708	2054366
315	947747	2051453
316	950700	2048353
317	953681	2045316
318	956658	2042270
319	959533	2039007
320	962461	2035860
321	965400	2032738
322	968315	2029565
323	971236	2026406
324	974148	2023230
325	977150	2020243
326	980060	2017065
327	982988	2013928
328	985981	2010923
329	988870	2007707
330	991873	2004723
331	994791	2001568
332	997736	1998469
333	1000593	1995195
334	1003468	1991959
335	1006491	1989018
336	1009391	1985834
337	1012278	1982628
338	1015359	1979801
339	1018387	1976869
340	1021369	1973848
341	1024350	1970826
342	1027297	1967739
343	1030186	1964541
344	1033135	1961459
345	1036145	1958493
346	1039098	1955421
347	1042019	1952288
348	1044953	1949182
349	1047892	1946085
350	1050884	1943088
351	1053917	1940165
352	1056894	1937141
353	1059908	1934182
354	1062798	1931000
355	1065796	1928013
356	1068767	1924979
357	1071729	1921928
358	1074734	1918955
359	1077716	1915939
360	1080725	1912974
361	1083642	1909845
362	1086644	1906865
363	1089979	1904469
364	1093061	1901627
365	1096020	1898571
366	1099066	1895664
367	1101979	1892529
368	1104912	1889430
369	1107854	1886347
370	1110837	1883334
371	1113784	1880259
372	1116670	1877084
373	1119669	1874099
374	1122578	1870963
375	1125484	1867824
376	1128357	1864633
377	1131430	1861772
378	1134401	1858742
379	1137354	1855683
380	1140319	1852645
381	1143315	1849657
382	1146234	1846544
383	1149154	1843435
384	1152082	1840338
385	1155032	1837279
386	1157967	1834197
387	1160925	1831151
388	1163869	1828083
389	1166846	1825067
390	1170920	1823760
391	1174038	1820957
392	1177565	1818784
393	1180999	1816461
394	1184379	1814049
395	1187586	1811369
396	1190844	1808763
397	1194279	1806423
398	1197292	1803440
399	1200509	1800763
400	1203884	1798321
401	1207302	1795937
402	1210626	1793409
403	1213733	1790557
404	1216690	1787483
405	1219623	1784375
406	1222609	1781344
407	1225525	1778214
408	1228439	1775080
409	1231404	1772021
410	1234353	1768939
411	1237242	1765773
412	1240102	1762566
413	1243105	1759565
414	1245995	1756403
415	1248908	1753275
416	1251806	1750127
417	1254898	1747250
418	1257787	1744091
419	1260732	1741012
420	1263741	1738019
421	1266733	1735005
422	1269652	1731890
423	1272602	1728818
424	1275559	1725757
425	1278547	1722738
426	1281460	1719618
427	1284438	1716586
428	1287336	1713447
429	1290327	1710434
430	1293251	1707332
431	1296220	1704290
432	1299142	1701186
433	1302131	1698171
434	1305121	1695157
435	1308002	1692003
436	1310923	1688901
437	1314081	1686105
438	1316967	1682959
439	1319905	1679879
440	1322824	1676778
441	1325915	1673893
442	1328859	1670823
443	1331745	1667681
444	1334700	1664626
445	1337655	1661571
446	1340539	1658430
447	1343462	1655337
448	1346454	1652331
449	1349404	1649271
450	1352354	1646213
451	1355436	1643316
452	1358322	1640181
453	1361345	1637213
454	1364289	1634149
455	1367236	1631089
456	1370162	1628004
457	1373212	1625068
458	1376191	1622046
459	1379113	1618959
460	1382030	1615866
461	1385020	1612859
462	1387945	1609777
463	1390988	1606831
464	1393917	1603754
465	1397008	1600864
466	1399888	1597731
467	1402811	1594648
468	1405785	1591624
469	1408723	1588560
470	1411597	1585424
471	1414499	1582321
472	1417523	1579354
473	1420380	1576202
474	1423279	1573098
475	1426279	1570106
476	1429248	1567079
477	1432149	1563979
478	1435142	1560979
479	1438176	1558024
480	1441064	1554911
481	1443983	1551833
482	1446994	1548853
483	1450319	1546208
484	1453418	1543320
485	1456434	1540344
486	1459397	1537312
487	1462279	1534195
488	1465206	1531126
489	1468743	1528692
490	1472103	1526070
491	1475292	1523269
492	1478607	1520596
493	1482764	1518783
494	1487652	1517705
495	1492729	1516805
496	1498676	1516768
497	1501653	1513715
498	1504565	1510596
499	1507472	1507472
500	1510349	1504320
501	1513266	1501208
502	1516167	1498082
503	1519087	1494975
504	1521962	1491825
505	1524860	1488698
506	1527720	1485535
507	1530669	1482459
508	1533631	1479397
509	1536611	1476352
510	1539541	1473260
511	1542447	1470145
512	1545366	1467043
513	1548271	1463930
514	1551178	1460818
515	1554135	1457755
516	1557022	1454626
517	1559911	1451501
518	1562807	1448382
519	1565721	1445281
520	1568636	1442181
521	1571544	1439076
522	1574421	1435944
523	1577301	1432815
524	1580243	1429743
525	1583148	1426639
526	1586038	1423521
527	1588953	1420428
528	1591823	1417294
529	1594845	1414296
530	1597779	1411221
531	1600670	1408108
532	1603626	1405053
533	1606543	1401964
534	1609440	1398859
535	1612347	1395763
536	1615402	1392795
537	1618316	1389706
538	1621227	1386616
539	1624091	1383485
540	1626983	1380379
541	1629896	1377292
542	1632811	1374207
543	1635730	1371126
544	1638621	1368023
545	1641526	1364932
546	1644412	1361825
547	1647366	1358776
548	1650266	1355683
549	1653177	1352600
550	1656113	1349536
551	1659029	1346458
552	1661957	1343390
553	1664814	1340265
554	1667716	1337178
555	1670580	1334060
556	1673564	1331039
557	1676519	1327996
558	1679447	1324931
559	1682383	1321872
560	1685272	1318778
561	1688220	1315730
562	1691115	1312642
563	1694006	1309550
564	1696910	1306470
565	1699845	1303415
566	1702741	1300330
567	1705690	1297285
568	1708635	1294238
569	1711536	1291159
570	1714438	1288080
571	1717354	1285013
572	1720319	1281983
573	1723209	1278897
574	1726386	1276024
575	1729407	1273036
576	1732295	1269949
577	1735269	1266926
578	1738177	1263856
579	1741096	1260793
580	1744010	1257729
581	1746939	1254674
582	1749793	1251567
583	1752677	1248482
584	1755581	1245412
585	1758449	1242317
586	1761390	1239274
587	1764308	1236215
588	1767190	1233132
589	1770091	1230063
590	1773009	1227006
591	1775916	1223942
592	1778884	1220920
593	1781791	1217857
594	1784754	1214832
595	1787688	1211788
596	1790626	1208747
597	1793613	1205740
598	1796528	1202684
599	1799451	1199634
600	1802352	1196569
601	1805295	1193534
602	1808168	1190452
603	1811061	1187384
604	1814362	1184584
605	1817529	1181694
606	1820412	1178619
607	1823346	1175578
608	1826248	1172517
609	1829196	1169486
610	1832381	1166606
611	1835809	1163879
612	1839059	1161037
613	1842463	1158291
614	1846598	1156000
615	1851730	1154325
616	1856850	1152631
617	1862113	1151014
618	1865835	1148438
619	1869175	1145623
620	1872421	1142750
621	1875582	1139823
622	1878620	1136821
623	1881946	1133993
624	1885148	1131089
625	1888237	1128116
626	1891280	1125115
627	1894831	1122416
628	1897723	1119324
629	1900652	1116255
630	1903568	1113180
631	1906494	1110110
632	1909802	1107262
633	1912735	1104197
634	1915773	1101192
635	1918723	1098137
636	1921638	1095062
637	1924554	1091988
638	1927464	1088911
639	1930472	1085890
640	1933395	1082822
641	1936322	1079756
642	1939195	1076660
643	1942152	1073612
644	1945089	1070553
645	1948022	1067492
646	1950946	1064426
647	1953837	1061343
648	1957013	1058415
649	1959885	1055322
650	1962785	1052245
651	1965953	1049312
652	1969372	1046511
653	1972294	1043446
654	1975280	1040414
655	1978171	1037333
656	1981034	1034238
657	1983878	1031134
658	1986782	1028061
659	1989631	1024961
660	1992543	1021894
661	1995432	1018815
662	1998345	1015750
663	2001237	1012674
664	2004103	1009585
665	2006982	1006504
666	2009896	1003441
667	2013067	1000506
668	2015923	997415
669	2018845	994356
670	2021751	991290
671	2024653	988223
672	2027555	985157
673	2030459	982091
674	2033437	979062
675	2036304	975980
676	2039202	972913
677	2042102	969848
678	2044973	966769
679	2047841	963690
680	2050718	960615
681	2053618	957552
682	2056521	954490
683	2059401	951419
684	2062306	948359
685	2065180	945286
686	2068054	942214
687	2070974	939162
688	2073884	936107
689	2076747	933031
690	2079633	929966
691	2082505	926895
692	2085392	923831
693	2088251	920756
694	2091102	917678
695	2094059	914646
696	2096921	911574
697	2099780	908500
698	2102641	905429
699	2105523	902367
700	2108421	899312
701	2111299	896249
702	2114111	893159
703	2116985	890096
704	2119900	887050
705	2122745	883976
706	2125599	880906
707	2128437	877830
708	2131270	874752
709	2134136	871689
710	2137054	868647
711	2139916	865584
712	2142764	862515
713	2145712	859487
714	2148593	856432
715	2151509	853392
716	2154460	850365
717	2157434	847348
718	2160311	844294
719	2163218	841251
720	2166127	838210
721	2169070	835182
722	2171974	832139
723	2174877	829097
724	2177790	826058
725	2180687	823014
726	2183578	819968
727	2186439	816911
728	2189303	813856
729	2192217	810820
730	2195191	807806
731	2198086	804763
732	2201014	801733
733	2203947	798705
734	2206891	795681
735	2209792	792642
736	2212704	789608
737	2215735	786616
738	2218684	783594
739	2221611	780566
740	2224501	777524
741	2227412	774491
742	2230278	771442
743	2233190	768409
744	2236093	765374
745	2239073	762365
746	2241984	759333
747	2244925	756311
748	2247868	753291
749	2250818	750272
750	2253949	747314
751	2256920	744303
752	2259843	741276
753	2262726	738236
754	2265644	735209
755	2268547	732176
756	2271449	729144
757	2274463	726147
758	2277364	723115
759	2280339	720107
760	2283207	717065
761	2286112	714035
762	2289040	711012
763	2291939	707981
764	2294897	704968
765	2297833	701949
766	2300696	698907
767	2303692	695906
768	2306731	692919
769	2309704	689911
770	2312713	686914
771	2315649	683896
772	2318567	680873
773	2321525	677861
774	2324439	674837
775	2327393	671825
776	2330298	668798
777	2333208	665774
778	2336192	662770
779	2339152	659760
780	2342080	656742
781	2344964	653711
782	2347978	650716
783	2350904	647698
784	2353795	644670
785	2356750	641659
786	2359677	638642
787	2362626	635630
788	2365572	632618
789	2368475	629594
790	2371399	626577
791	2374352	623567
792	2377280	620551
793	2380214	617536
794	2383382	614582
795	2386286	611560
796	2389205	608542
797	2392119	605524
798	2395209	602549
799	2398187	599546
800	2401148	596539
801	2404037	593515
802	2406946	590496
803	2409857	587477
804	2412780	584462
805	2415706	581447
806	2418651	578438
807	2421511	575408
808	2424483	572405
809	2427412	569393
810	2430309	566372
811	2433184	563348
812	2436076	560327
813	2438982	557310
814	2441892	554294
815	2444795	551277
816	2447733	548268
817	2450642	545252
818	2453651	542259
819	2456604	539254
820	2459493	536235
821	2462380	533216
822	2465318	530208
823	2468323	527214
824	2471591	524276
825	2474609	521285
826	2477571	518282
827	2480499	515272
828	2483477	512273
829	2486393	509261
830	2489282	506243
831	2492206	503234
832	2495285	500255
833	2498228	497249
834	2501157	494240
835	2504068	491228
836	2507010	488222
837	2509959	485218
838	2513007	482233
839	2515927	479224
840	2518854	476216
841	2521761	473204
842	2524662	470192
843	2527591	467185
844	2530514	464177
845	2533406	461163
846	2536347	458159
847	2539267	455151
848	2542188	452144
849	2545161	449146
850	2548104	446142
851	2551089	443146
852	2554007	440139
853	2556999	437145
854	2559922	434138
855	2562826	431129
856	2565705	428116
857	2568606	425107
858	2571617	422116
859	2574765	419147
860	2577686	416142
861	2580596	413135
862	2583461	410120
863	2586402	407118
864	2589318	404113
865	2592286	401115
866	2595221	398113
867	2598140	395108
868	2601086	392108
869	2604036	389108
870	2606972	386107
871	2609926	383108
872	2612887	380110
873	2615829	377110
874	2618725	374103
875	2621664	371103
876	2624629	368106
877	2627573	365107
878	2630517	362107
879	2633602	359127
880	2636507	356122
881	2639437	353122
882	2642371	350121
883	2646804	347318
884	2651155	344500
885	2655565	341686
886	2660019	338875
887	2664429	336054
888	2668841	333229
889	2673367	330416
890	2677810	327588
891	2682210	324751
892	2686533	321902
893	2690950	319061
894	2695517	316233
895	2699853	313375
896	2704259	310522
897	2708733	307673
898	2713150	304814
899	2717555	301950
900	2721511	299034
901	2724474	296007
902	2727375	292973
903	2730256	289938
904	2733167	286907
905	2736110	283879
906	2739970	280945
907	2744349	278061
908	2748681	275170
909	2753252	272299
910	2757601	269403
911	2761978	266506
912	2766465	263617
913	2770931	260722
914	2775501	257833
915	2779928	254927
916	2784375	252020
917	2788690	249098
918	2793096	246181
919	2797709	243279
920	2802280	240369
921	2806665	237440
922	2811088	234511
923	2815665	231591
924	2820182	228663
925	2824652	225728
926	2829137	222790
927	2833579	219846
928	2838036	216900
929	2842462	213948
930	2846832	210989
931	2851236	208030
932	2855680	205070
933	2860083	202104
934	2864554	199140
935	2868915	196165
936	2873397	193195
937	2877804	190217
938	2882177	187234
939	2886558	184248
940	2890923	181258
941	2895380	178271
942	2899830	175281
943	2904245	172285
944	2908644	169286
945	2913052	166284
946	2917469	163279
947	2921766	160265
948	2926204	157256
949	2930556	154239
950	2935145	151232
951	2939494	148209
952	2943833	145183
953	2948295	142161
954	2952796	139136
955	2957145	136102
956	2961454	133064
957	2965954	130031
958	2970540	126999
959	2975003	123958
960	2979384	120911
961	2983812	117863
962	2988248	114813
963	2992556	111755
964	2997128	108704
965	3001511	105643
966	3005912	102580
967	3010256	99512
968	3014624	96443
969	3019120	93374
970	3023485	90299
971	3027904	87223
972	3032360	84145
973	3036715	81062
974	3041091	77976
975	3045495	74889
976	3049840	71797
977	3054454	68709
978	3058829	65613
979	3061773	62485
980	3064723	59357
981	3067647	56229
982	3070647	53103
983	3073605	49977
984	3076540	46850
985	3079512	43725
986	3082413	40599
987	3085376	37474
988	3089779	34365
989	3094177	31254
990	3098614	28140
991	3103015	25024
992	3107410	21905
993	3111805	18783
994	3116945	15663
995	3121460	12535
996	3125886	9405
997	3130338	6273
998	3134724	3137
999	3139183	0
