iter	MultiClass
244	0.1286202709
245	0.1284297249
246	0.1282434042
247	0.1277477337
248	0.1275531995
249	0.1272459226
250	0.1268117741
251	0.1266784022
252	0.1265024223
253	0.126320312
254	0.126133103
255	0.1261005538
256	0.1260563759
257	0.1259896316
258	0.1258106394
259	0.1255991713
260	0.1255031194
261	0.1254563876
262	0.1253927421
263	0.1252931939
264	0.1252908545
265	0.125137266
266	0.1249887965
267	0.1249792574
268	0.1249289297
269	0.1243798704
270	0.1243200799
271	0.1240382982
272	0.1238084438
273	0.1237725995
274	0.123686856
275	0.1236585148
276	0.1236137484
277	0.1231838613
278	0.1229682758
279	0.1228974607
280	0.1228955061
281	0.1227641628
282	0.1222412384
283	0.1220955258
284	0.1217254164
285	0.1216424295
286	0.1213573174
287	0.1213282246
288	0.1212490428
289	0.1203849671
290	0.1201027585
291	0.1199700902
292	0.1198917867
293	0.1198893074
294	0.119807946
295	0.1196602881
296	0.1196372378
297	0.11858742
298	0.1184383549
299	0.1181292777
300	0.1178554394
301	0.1177504598
302	0.1177331916
303	0.1177076378
304	0.1174265556
305	0.117187528
306	0.1170793543
307	0.1170022581
308	0.1168592567
309	0.1168159122
310	0.1167614569
311	0.116721358
312	0.1165073247
313	0.1164641102
314	0.1162632022
315	0.1161470296
316	0.1158157949
317	0.1157818376
318	0.1157382426
319	0.1157168601
320	0.1156278145
321	0.1156089619
322	0.1153486234
323	0.1153206361
324	0.1152423563
325	0.1151306265
326	0.1150353233
327	0.1149419155
328	0.1148304099
329	0.1147909915
330	0.114725074
331	0.114693786
332	0.1146280226
333	0.1144818975
334	0.1144539148
335	0.1143454501
336	0.1142727996
337	0.1142239853
338	0.114120098
339	0.1139759902
340	0.1139055435
341	0.1135484264
342	0.113481488
343	0.1134593526
344	0.113295265
345	0.112858051
346	0.112825598
347	0.1124289873
348	0.1123894623
349	0.1123404519
350	0.1122928999
351	0.112166625
352	0.1119724642
353	0.1118094228
354	0.1117357045
355	0.1117144073
356	0.1116854004
357	0.1114856503
358	0.1114597737
359	0.1113614856
360	0.1113372201
361	0.1113273745
362	0.1110901191
363	0.1102318136
364	0.1099546461
365	0.1097283737
366	0.109634105
367	0.109608763
368	0.1094458062
369	0.1094438197
370	0.1090685201
371	0.1086627406
372	0.1086001183
373	0.1085810618
374	0.1085507354
375	0.1084418941
376	0.1083630933
377	0.1082426812
378	0.1082274103
379	0.107983277
380	0.107918392
381	0.1078560751
382	0.107764449
383	0.1076962623
384	0.1076756093
385	0.1075257738
386	0.1072976024
387	0.1072513011
388	0.1070494445
389	0.1070385414
390	0.1068771733
391	0.1068243603
392	0.1067618365
393	0.106726276
394	0.1065667952
395	0.1065549351
396	0.1064900063
397	0.1064733581
398	0.1063188768
399	0.1061813171
400	0.1061167693
401	0.1061145838
402	0.106094953
403	0.1060710493
404	0.1059344291
405	0.105803633
406	0.105549958
407	0.1054393598
408	0.1052400684
409	0.105176862
410	0.1051288335
411	0.1049821092
412	0.1049642268
413	0.104876038
414	0.1048570659
415	0.1046297356
416	0.1045955006
417	0.104517261
418	0.1045028256
419	0.1043178399
420	0.1040992775
421	0.1040549496
422	0.1040066623
423	0.1038641573
424	0.1037136084
425	0.1035755575
426	0.1034700929
427	0.1033956498
428	0.1033707249
429	0.1032957435
430	0.103244002
431	0.1031808186
432	0.1030994245
433	0.1029617799
434	0.1027946572
435	0.1027930472
436	0.1027159718
437	0.1026425369
438	0.1026089218
439	0.102513007
440	0.1023388885
441	0.1022066204
442	0.1020698952
443	0.1019774457
444	0.101910442
445	0.1018611732
446	0.1018165766
447	0.1016504199
448	0.1015646161
449	0.1014240886
450	0.1013064503
451	0.1011421096
452	0.1010100176
453	0.1006456934
454	0.100580682
455	0.1005093816
456	0.1004397405
457	0.1003426221
458	0.1003060694
459	0.1002402099
460	0.1001320397
461	0.1000845296
462	0.1000822498
463	0.09996495227
464	0.09981282367
465	0.09973623305
466	0.09971471368
467	0.09967697545
468	0.0996064877
469	0.09958889989
470	0.09946228764
471	0.09943416676
472	0.09922793974
473	0.09922179181
474	0.09918781498
475	0.09903415347
476	0.09896308803
477	0.09888235442
478	0.09884138355
479	0.09875009292
480	0.09867188839
481	0.09845747992
482	0.09844447843
483	0.09838954088
484	0.09818711462
485	0.09804044012
486	0.0978042909
487	0.09773431606
488	0.09770631052
489	0.09764251222
490	0.09757933446
491	0.09756759744
492	0.09752000154
493	0.09748821623
494	0.09743759185
495	0.09723850303
496	0.09722524798
497	0.09701609124
498	0.09695168963
499	0.09689020574
500	0.0968567212
501	0.09680074914
502	0.09678555584
503	0.09662473859
504	0.09660757914
505	0.09652502836
506	0.09650658023
507	0.09644717036
508	0.09639949386
509	0.09636616763
510	0.09632362341
511	0.09619821173
512	0.09613453045
513	0.09605499266
514	0.09599035753
515	0.09593348307
516	0.09590013734
517	0.09589847094
518	0.09580723624
519	0.0957314588
520	0.09569216553
521	0.09563687575
522	0.09559137061
523	0.09558233234
524	0.09550570304
525	0.09542993509
526	0.09539979364
527	0.09536180266
528	0.09533359292
529	0.09531401413
530	0.09516125518
531	0.09509601178
532	0.09503077532
533	0.09497063932
534	0.0949534844
535	0.09485711237
536	0.09478740876
537	0.09477351011
538	0.09477178244
539	0.09476855467
540	0.09473296896
541	0.09464692314
542	0.09452804177
543	0.09451313767
544	0.09446111503
545	0.09440955817
546	0.09431086344
547	0.09422568696
548	0.09419248809
549	0.09414244063
550	0.09408105857
551	0.09401563625
552	0.09395212308
553	0.09394057042
554	0.09391289118
555	0.09386080422
556	0.093824913
557	0.09375587091
558	0.09371346812
559	0.09362231266
560	0.093574365
561	0.09340045896
562	0.09335068976
563	0.09330541388
564	0.09328939557
565	0.09317698738
566	0.09312896543
567	0.09306906199
568	0.09291076277
569	0.09287060147
570	0.09282968601
571	0.09273534318
572	0.09259159751
573	0.09257840593
574	0.09244281246
575	0.09207887953
576	0.09204055302
577	0.09200983123
578	0.091995203
579	0.09194730589
580	0.09190508569
581	0.09179410754
582	0.09177172137
583	0.09172636968
584	0.0916414411
585	0.0916284464
586	0.09149631647
587	0.09143157956
588	0.09127692422
589	0.0912342256
590	0.09118283299
591	0.09114370402
592	0.09108022785
593	0.09106869822
594	0.09099408528
595	0.09092626744
596	0.09078044159
597	0.09069663521
598	0.09065837442
599	0.09045698988
600	0.0903755407
601	0.09021797989
602	0.09019381724
603	0.09018050768
604	0.09006075637
605	0.08968344349
606	0.08967893111
607	0.08962069817
608	0.08957421204
609	0.08951674882
610	0.08948849089
611	0.08931656688
612	0.08921897339
613	0.08918658384
614	0.08909435654
615	0.08900307031
616	0.08884788358
617	0.08875644247
618	0.08869262022
619	0.08863560953
620	0.08848633871
621	0.08847484214
622	0.08843774224
623	0.0883821627
624	0.08833348348
625	0.08819801663
626	0.08818017975
627	0.08815127467
628	0.08808853015
629	0.08794096009
630	0.08793319015
631	0.08785660382
632	0.08776912065
633	0.08772913328
634	0.08768439822
635	0.08761920263
636	0.08761560257
637	0.087552635
638	0.08738582717
639	0.08727583313
640	0.08715275077
641	0.08708110666
642	0.08707532423
643	0.08692927505
644	0.08686440971
645	0.08683587769
646	0.08672068303
647	0.08665607411
648	0.08651217537
649	0.0864886034
650	0.08644307617
651	0.08638698556
652	0.08621838392
653	0.08602895027
654	0.08597626076
655	0.0859382327
656	0.08581919902
657	0.08581805127
658	0.08571185746
659	0.08570644067
660	0.08566327387
661	0.08555420042
662	0.08548226883
663	0.08538890433
664	0.08537055298
665	0.08535980303
666	0.08530999045
667	0.08527584066
668	0.0851961695
669	0.08513381849
670	0.0850913271
671	0.08493279617
672	0.08485869219
673	0.08482669606
674	0.08477560003
675	0.0847387634
676	0.08465914686
677	0.08458355666
678	0.08449464075
679	0.08443317982
680	0.08436783656
681	0.08429707692
682	0.08416171667
683	0.08412433169
684	0.08403080393
685	0.08397688654
686	0.08396354852
687	0.08390641177
688	0.08385080055
689	0.08377234325
690	0.08372008933
691	0.08370885607
692	0.08364764676
693	0.08363867619
694	0.08357259486
695	0.08337958812
696	0.08334002166
697	0.083305866
698	0.08328373569
699	0.0831652584
700	0.08310566171
701	0.08306730495
702	0.08306570606
703	0.08302346968
704	0.08291982448
705	0.08291414162
706	0.08289908908
707	0.08280477591
708	0.0826798369
709	0.08262944152
710	0.08250597883
711	0.08245133924
712	0.08244636969
713	0.08236838324
714	0.08226379802
715	0.08221339565
716	0.08219223611
717	0.08192869414
718	0.08188537518
719	0.08182556731
720	0.08174510845
721	0.08166968143
722	0.08158688943
723	0.08152066488
724	0.08150653541
725	0.08139447311
726	0.08132738155
727	0.08131685569
728	0.08129190747
729	0.08115469541
730	0.08109139762
731	0.08103114834
732	0.08086868541
733	0.08071821463
734	0.08070161258
735	0.08063031453
736	0.08057144935
737	0.08056991666
738	0.08051731657
739	0.08048811543
740	0.08044802956
741	0.080377914
742	0.08033458954
743	0.08025633695
744	0.08020479024
745	0.08005370669
746	0.08001631291
747	0.07996347388
748	0.07978775932
749	0.07974574103
750	0.07963791041
751	0.07955118483
752	0.07939401952
753	0.07936676451
754	0.0793353075
755	0.07933217917
756	0.07931931403
757	0.07931786391
758	0.07923217467
759	0.0791851032
760	0.07917379365
761	0.07909404737
762	0.0790574643
763	0.0790425715
764	0.0790138738
765	0.07900893411
766	0.07900795511
767	0.0789520329
768	0.07891696124
769	0.07875369847
770	0.07872190248
771	0.07870881037
772	0.07868949789
773	0.07861357466
774	0.07860134962
775	0.07844213318
776	0.07842346355
777	0.07839121685
778	0.0783089791
779	0.07822820948
780	0.07821241145
781	0.07818981596
782	0.07810749253
783	0.0780979781
784	0.07808838284
785	0.0780384236
786	0.07792267144
787	0.07781476675
788	0.07774424671
789	0.07773729817
790	0.07764989384
791	0.07759771836
792	0.07756204015
793	0.07752273752
794	0.07746437246
795	0.07743366948
796	0.0773739573
797	0.07733508203
798	0.07731562724
799	0.07729535591
800	0.07728027463
801	0.07719529088
802	0.07717012527
803	0.07713907139
804	0.07707213726
805	0.07702968429
806	0.07691086743
807	0.07690698261
808	0.07681771218
809	0.07678588677
810	0.07673743162
811	0.07672651583
812	0.07669876536
813	0.07665690926
814	0.07660577477
815	0.07657546655
816	0.07653467078
817	0.07650786815
818	0.07648873036
819	0.07638957796
820	0.07628100409
821	0.07624968066
822	0.07616006914
823	0.07611137049
824	0.07607529406
825	0.07606903194
826	0.07595391313
827	0.07586788197
828	0.07581405667
829	0.07578871649
830	0.0757456087
831	0.07572426769
832	0.07565585544
833	0.07562283198
834	0.07555016314
835	0.07551307017
836	0.07548946737
837	0.07545377787
838	0.07540117285
839	0.07537911546
840	0.07536913574
841	0.07536197078
842	0.07532485851
843	0.07528939408
844	0.0752575108
845	0.07521018793
846	0.07511042832
847	0.07505014387
848	0.07501177466
849	0.07489983127
850	0.07476648001
851	0.07469307555
852	0.07463112842
853	0.07459872787
854	0.07456869314
855	0.07453481336
856	0.07451545941
857	0.07448583909
858	0.07444606406
859	0.07442335936
860	0.07437255427
861	0.07428927134
862	0.07427394018
863	0.07416767873
864	0.07412058581
865	0.07401266976
866	0.07395789234
867	0.07392955986
868	0.07390032832
869	0.07385122293
870	0.07379305203
871	0.07376407074
872	0.07368694052
873	0.07344544433
874	0.07344467669
875	0.07336102514
876	0.07320864486
877	0.07316914688
878	0.07310443602
879	0.07297039763
880	0.0729398893
881	0.0729082733
882	0.07287363584
883	0.07278358816
884	0.07277125792
885	0.07268210128
886	0.0726206058
887	0.07259763226
888	0.07253071284
889	0.07245537583
890	0.07241468215
891	0.07238201591
892	0.0723363317
893	0.0723134139
894	0.07224069937
895	0.072215601
896	0.07218269286
897	0.07211942783
898	0.07205779123
899	0.07202669814
900	0.07197361322
901	0.07182013654
902	0.07180306762
903	0.0717947788
904	0.07172106123
905	0.07170699967
906	0.07169953236
907	0.07166387264
908	0.07164962079
909	0.0715858729
910	0.07155872404
911	0.0715169586
912	0.07151240939
913	0.07146779131
914	0.07139787392
915	0.07138347394
916	0.07132971356
917	0.07132857954
918	0.07131959769
919	0.07121670473
920	0.07113290625
921	0.07108691208
922	0.07106427437
923	0.07106124368
924	0.07097360299
925	0.0708725926
926	0.07082508695
927	0.07080163128
928	0.07073189882
929	0.07062130362
930	0.07061902607
931	0.0705977795
932	0.07054988686
933	0.07052062316
934	0.07045303333
935	0.07042695682
936	0.07041754555
937	0.07040108721
938	0.07035843868
939	0.07033784936
940	0.07029602245
941	0.07023969139
942	0.07018249577
943	0.07011387557
944	0.0700192208
945	0.0699921666
946	0.06990659318
947	0.06990568452
948	0.06983684338
949	0.06981621485
950	0.06979730537
951	0.06978307994
952	0.0697670164
953	0.0696981164
954	0.06964865652
955	0.06963752302
956	0.06963679631
957	0.06956068545
958	0.06949692989
959	0.06947811885
960	0.06943185858
961	0.069395014
962	0.06929186543
963	0.06928077898
964	0.06922674314
965	0.0692144672
966	0.06916662198
967	0.06914460237
968	0.06909934078
969	0.06899628637
970	0.06899532462
971	0.0689773672
972	0.06893870641
973	0.06892279674
974	0.06888135216
975	0.0688308514
976	0.06882458147
977	0.06874223044
978	0.06871141639
979	0.06867470422
980	0.0685308802
981	0.06846988207
982	0.06839474919
983	0.068350524
984	0.06828356136
985	0.06826330595
986	0.06823844189
987	0.06815611629
988	0.06813775842
989	0.06809339401
990	0.06804905641
991	0.06798733462
992	0.06796888937
993	0.06795120279
994	0.06791269076
995	0.06784074182
996	0.06778445059
997	0.06769554889
998	0.06766193131
999	0.06761418145
